iter	Passed	Remaining
0	1	781
1	3	805
2	5	832
3	6	817
4	8	798
5	8	687
6	9	683
7	11	686
8	11	627
9	12	635
10	14	641
11	15	643
12	17	642
13	18	651
14	20	657
15	21	661
16	23	662
17	24	663
18	26	664
19	27	665
20	29	664
21	30	662
22	31	653
23	32	651
24	34	655
25	35	654
26	37	653
27	38	652
28	40	650
29	41	651
30	42	650
31	44	649
32	45	648
33	47	649
34	48	650
35	50	650
36	51	648
37	53	647
38	54	646
39	56	645
40	57	644
41	58	643
42	60	642
43	61	642
44	63	642
45	65	642
46	66	641
47	67	639
48	69	638
49	70	637
50	72	636
51	73	634
52	75	633
53	76	633
54	77	624
55	78	622
56	80	622
57	81	621
58	82	619
59	84	618
60	85	617
61	87	615
62	88	613
63	89	612
64	91	611
65	92	609
66	94	607
67	95	607
68	97	606
69	98	604
70	99	603
71	100	596
72	101	594
73	102	588
74	103	586
75	105	586
76	105	579
77	106	578
78	108	576
79	109	575
80	111	576
81	112	574
82	113	572
83	115	570
84	116	569
85	117	567
86	120	573
87	122	572
88	123	572
89	125	571
90	126	570
91	128	569
92	129	568
93	131	566
94	132	565
95	134	565
96	135	564
97	137	563
98	138	561
99	140	561
100	141	560
101	143	560
102	145	559
103	147	560
104	148	559
105	150	558
106	151	557
107	152	555
108	154	553
109	155	552
110	157	551
111	158	549
112	160	548
113	161	547
114	162	545
115	164	543
116	165	542
117	167	541
118	168	540
119	170	538
120	171	537
121	173	536
122	174	534
123	175	533
124	177	531
125	178	530
126	180	528
127	181	527
128	182	526
129	184	524
130	185	522
131	187	521
132	188	520
133	189	518
134	191	517
135	192	515
136	193	513
137	195	512
138	196	510
139	198	509
140	199	507
141	200	505
142	202	504
143	203	503
144	205	502
145	206	500
146	207	498
147	208	495
148	209	493
149	211	492
150	212	490
151	213	489
152	214	487
153	216	485
154	217	484
155	219	483
156	220	482
157	222	480
158	223	479
159	225	478
160	226	476
161	227	475
162	229	473
163	230	472
164	231	470
165	233	469
166	234	468
167	236	466
168	237	465
169	239	464
170	240	462
171	241	461
172	243	459
173	244	458
174	245	456
175	247	455
176	248	453
177	250	452
178	251	450
179	253	449
180	254	448
181	255	446
182	257	445
183	258	443
184	259	442
185	261	441
186	262	439
187	264	439
188	266	438
189	268	437
190	269	436
191	271	435
192	272	434
193	274	432
194	275	431
195	277	430
196	279	429
197	280	428
198	282	427
199	283	425
200	284	423
201	286	422
202	287	420
203	288	419
204	290	417
205	291	416
206	293	415
207	294	413
208	296	412
209	297	410
210	298	409
211	300	407
212	301	406
213	302	404
214	304	403
215	305	401
216	306	399
217	308	398
218	309	397
219	310	395
220	312	394
221	313	392
222	314	390
223	316	389
224	317	387
225	318	386
226	320	384
227	321	383
228	322	381
229	323	380
230	325	378
231	326	377
232	328	375
233	329	374
234	330	372
235	331	371
236	333	369
237	334	368
238	335	366
239	337	365
240	338	363
241	339	362
242	341	360
243	342	359
244	343	357
245	345	356
246	346	354
247	347	353
248	349	351
249	350	350
250	352	349
251	353	347
252	355	346
253	356	345
254	357	343
255	359	342
256	360	340
257	361	339
258	363	337
259	363	335
260	365	334
261	366	333
262	368	331
263	369	330
264	370	328
265	372	327
266	373	325
267	374	324
268	375	322
269	377	321
270	378	319
271	379	318
272	381	317
273	382	315
274	383	314
275	385	312
276	386	311
277	387	309
278	389	308
279	390	306
280	391	305
281	393	303
282	394	302
283	395	301
284	397	299
285	398	298
286	399	296
287	401	295
288	402	293
289	403	292
290	404	290
291	406	289
292	407	287
293	408	286
294	410	285
295	411	283
296	412	282
297	414	280
298	415	279
299	416	277
300	418	276
301	419	275
302	420	273
303	422	272
304	423	270
305	424	269
306	426	267
307	427	266
308	428	264
309	429	263
310	431	262
311	432	260
312	433	259
313	435	257
314	436	256
315	438	255
316	439	253
317	440	252
318	442	250
319	443	249
320	444	248
321	446	246
322	447	245
323	448	243
324	450	242
325	451	241
326	452	239
327	454	238
328	455	236
329	456	235
330	458	233
331	459	232
332	460	231
333	462	229
334	463	228
335	464	226
336	466	225
337	467	224
338	468	222
339	470	221
340	471	219
341	472	218
342	474	216
343	475	215
344	476	214
345	478	212
346	479	211
347	480	209
348	482	208
349	483	207
350	484	205
351	486	204
352	487	202
353	488	201
354	489	200
355	491	198
356	492	197
357	494	196
358	495	194
359	497	193
360	498	191
361	499	190
362	501	189
363	502	187
364	504	186
365	505	185
366	506	183
367	508	182
368	509	180
369	510	179
370	512	178
371	514	176
372	515	175
373	516	174
374	518	172
375	519	171
376	520	169
377	522	168
378	523	167
379	524	165
380	526	164
381	527	163
382	529	161
383	530	160
384	532	158
385	533	157
386	534	156
387	536	154
388	537	153
389	539	152
390	540	150
391	541	149
392	543	147
393	544	146
394	546	145
395	547	143
396	549	142
397	550	141
398	551	139
399	553	138
400	554	136
401	555	135
402	557	134
403	559	132
404	560	131
405	562	130
406	564	128
407	565	127
408	566	126
409	568	124
410	569	123
411	571	121
412	572	120
413	574	119
414	575	117
415	577	116
416	578	115
417	580	113
418	581	112
419	582	110
420	584	109
421	585	108
422	587	106
423	589	105
424	590	104
425	592	102
426	594	101
427	595	100
428	596	98
429	598	97
430	599	96
431	600	94
432	601	93
433	603	91
434	605	90
435	606	89
436	608	87
437	609	86
438	610	84
439	612	83
440	613	82
441	614	80
442	616	79
443	617	77
444	619	76
445	620	75
446	622	73
447	623	72
448	624	70
449	625	69
450	627	68
451	629	66
452	630	65
453	631	64
454	633	62
455	634	61
456	636	59
457	637	58
458	638	57
459	640	55
460	641	54
461	643	52
462	644	51
463	645	50
464	647	48
465	648	47
466	649	45
467	651	44
468	652	43
469	654	41
470	655	40
471	657	38
472	658	37
473	660	36
474	661	34
475	662	33
476	664	32
477	665	30
478	667	29
479	668	27
480	669	26
481	671	25
482	672	23
483	674	22
484	675	20
485	676	19
486	678	18
487	679	16
488	681	15
489	682	13
490	683	12
491	685	11
492	686	9
493	687	8
494	688	6
495	690	5
496	691	4
497	693	2
498	693	1
499	695	0
